customer_id,signup_date,country,loyalty_member
1,2022-08-17,USA,True
2,2023-04-03,USA,True
3,2022-06-28,France,True
4,2022-07-11,USA,False
5,2022-02-24,United Kingdom,False
6,2024-05-09,USA,False
7,2022-01-14,Australia,True
8,2024-05-15,Canada,True
9,2023-11-21,USA,False
10,2024-01-06,Singapore,False
11,2022-03-30,Japan,False
12,2024-02-15,USA,True
13,2024-01-11,United Kingdom,False
14,2022-04-04,Japan,False
15,2022-06-13,Singapore,False
16,2024-02-18,USA,False
17,2024-01-18,USA,False
18,2023-07-01,Japan,False
19,2022-05-27,France,True
20,2023-05-17,USA,False
21,2023-03-26,Japan,False
22,2022-04-25,USA,True
23,2023-10-09,Germany,True
24,2023-10-07,USA,False
25,2024-07-28,USA,True
26,2023-06-23,Australia,False
27,2024-03-28,Canada,False
28,2022-10-11,United Kingdom,True
29,2022-04-07,Brazil,True
30,2022-11-24,Australia,False
31,2022-05-11,Canada,False
32,2024-08-16,United Kingdom,False
33,2022-01-24,Japan,True
34,2023-07-01,Australia,True
35,2023-08-25,Germany,False
36,2023-06-24,Mexico,False
37,2022-08-06,Brazil,True
38,2023-02-12,USA,False
39,2022-01-02,France,False
40,2022-08-18,Brazil,False
41,2023-09-22,USA,True
42,2022-06-11,USA,False
43,2022-05-22,Mexico,False
44,2022-09-15,USA,False
45,2022-12-05,USA,False
46,2024-05-16,Mexico,False
47,2023-02-16,Japan,False
48,2024-02-04,Germany,False
49,2022-09-05,USA,True
50,2022-02-13,France,True
51,2023-03-28,USA,False
52,2022-05-01,USA,False
53,2023-11-08,USA,True
54,2024-09-21,USA,True
55,2024-08-26,USA,False
56,2024-04-13,USA,True
57,2024-06-01,Canada,False
58,2022-04-21,Japan,False
59,2022-07-21,USA,False
60,2022-08-12,USA,True
61,2024-07-07,USA,True
62,2024-08-05,USA,False
63,2024-06-26,Singapore,False
64,2022-07-20,USA,False
65,2022-01-31,Mexico,False
66,2023-04-30,USA,False
67,2023-03-14,Brazil,False
68,2022-12-04,Canada,False
69,2023-06-28,Brazil,False
70,2023-08-08,Germany,False
71,2024-09-23,USA,True
72,2022-04-30,United Kingdom,False
73,2023-10-05,USA,False
74,2024-10-26,Brazil,False
75,2022-04-27,Mexico,True
76,2023-01-16,USA,True
77,2023-04-27,Germany,False
78,2023-05-20,United Kingdom,True
79,2022-06-17,Germany,False
80,2023-10-10,Brazil,True
81,2023-10-06,USA,False
82,2023-09-07,Germany,False
83,2022-05-29,USA,False
84,2022-07-24,USA,True
85,2023-06-28,USA,True
86,2022-05-21,Brazil,False
87,2022-11-20,Germany,False
88,2023-09-12,France,False
89,2022-01-17,Japan,False
90,2022-08-01,Brazil,True
91,2022-08-25,Brazil,False
92,2022-11-15,USA,False
93,2023-12-04,USA,False
94,2023-06-25,United Kingdom,True
95,2022-04-15,USA,False
96,2023-07-21,USA,True
97,2022-09-25,France,True
98,2024-06-23,United Kingdom,False
99,2022-01-20,USA,False
100,2022-11-02,United Kingdom,False
101,2022-10-31,Germany,True
102,2024-01-17,Brazil,False
103,2022-03-23,Brazil,True
104,2023-05-27,Japan,False
105,2024-04-12,Mexico,False
106,2023-04-30,Brazil,False
107,2022-12-29,Brazil,True
108,2023-11-12,Australia,False
109,2023-05-24,USA,False
110,2022-08-10,Canada,True
111,2024-08-21,USA,False
112,2024-07-31,Canada,False
113,2023-04-12,USA,False
114,2024-03-27,Canada,False
115,2023-07-26,Canada,False
116,2023-11-10,Brazil,True
117,2023-06-19,USA,False
118,2023-06-28,USA,False
119,2023-12-09,Japan,True
120,2022-08-25,Canada,False
121,2023-06-06,USA,False
122,2023-02-08,Canada,True
123,2023-11-08,France,False
124,2022-09-13,Japan,True
125,2023-09-26,Japan,True
126,2023-08-29,United Kingdom,True
127,2024-02-16,Japan,False
128,2023-09-09,Germany,False
129,2023-09-15,USA,False
130,2023-10-22,Germany,False
131,2023-03-14,United Kingdom,False
132,2022-12-14,Japan,True
133,2023-11-18,USA,False
134,2023-04-27,Japan,True
135,2023-02-12,USA,True
136,2024-08-31,France,False
137,2024-07-21,Germany,False
138,2023-02-03,Japan,False
139,2024-03-29,USA,False
140,2022-01-12,Brazil,False
141,2022-08-07,Australia,True
142,2024-08-09,USA,True
143,2022-09-06,Germany,False
144,2023-10-12,Mexico,False
145,2024-10-30,Germany,False
146,2024-07-02,Brazil,False
147,2024-08-30,Germany,False
148,2023-07-22,Australia,False
149,2023-05-05,USA,True
150,2023-08-09,USA,True
151,2022-06-15,USA,True
152,2022-11-09,Japan,True
153,2024-04-14,Canada,False
154,2022-05-08,USA,False
155,2022-02-10,Singapore,False
156,2024-02-19,Germany,False
157,2023-09-04,Australia,False
158,2024-05-08,United Kingdom,False
159,2023-03-28,Germany,True
160,2024-09-21,USA,True
161,2024-04-08,Japan,False
162,2022-09-19,Mexico,False
163,2024-03-17,France,False
164,2022-06-21,France,True
165,2024-08-03,USA,True
166,2023-11-02,USA,True
167,2024-02-16,USA,False
168,2024-05-13,USA,True
169,2022-02-09,Australia,True
170,2023-12-18,USA,True
171,2022-03-24,Australia,False
172,2023-02-13,Singapore,False
173,2023-05-04,USA,False
174,2023-03-23,Germany,True
175,2024-01-26,USA,False
176,2022-08-23,Australia,True
177,2023-09-30,USA,True
178,2023-10-01,United Kingdom,False
179,2024-02-08,Canada,False
180,2022-06-05,France,False
181,2023-05-13,USA,False
182,2022-09-05,Australia,False
183,2022-03-26,Canada,False
184,2024-01-29,USA,False
185,2022-01-26,Singapore,False
186,2022-08-05,Germany,False
187,2024-07-30,Japan,False
188,2023-07-08,France,False
189,2024-09-17,Germany,False
190,2023-07-04,Canada,True
191,2022-06-27,USA,False
192,2024-08-09,United Kingdom,False
193,2023-11-20,USA,False
194,2023-01-08,Germany,False
195,2023-06-14,Canada,False
196,2023-07-20,United Kingdom,False
197,2023-01-27,USA,False
198,2024-09-27,United Kingdom,True
199,2024-09-02,France,False
200,2022-02-05,USA,True
201,2023-05-14,Canada,False
202,2024-08-27,United Kingdom,True
203,2023-11-09,Canada,False
204,2023-09-20,USA,True
205,2023-01-30,Canada,False
206,2023-01-15,USA,False
207,2023-07-21,Japan,False
208,2023-08-03,Mexico,False
209,2023-08-30,USA,True
210,2022-01-29,Japan,True
211,2022-04-04,Mexico,False
212,2022-09-16,France,False
213,2022-07-30,Brazil,False
214,2024-08-19,Germany,True
215,2022-04-16,USA,False
216,2022-08-22,Singapore,False
217,2022-06-01,United Kingdom,False
218,2022-11-07,USA,False
219,2023-09-15,USA,True
220,2024-05-02,France,False
221,2023-04-08,Australia,False
222,2024-06-25,USA,False
223,2024-05-28,Canada,False
224,2022-07-23,Mexico,True
225,2023-03-09,USA,True
226,2023-05-07,USA,True
227,2022-01-06,Germany,False
228,2024-08-20,USA,True
229,2023-08-03,Japan,False
230,2023-04-24,Brazil,False
231,2023-02-10,Germany,False
232,2022-11-02,Brazil,False
233,2022-05-27,USA,False
234,2023-08-15,Germany,False
235,2023-09-15,Japan,False
236,2024-10-21,United Kingdom,False
237,2022-03-23,Brazil,False
238,2023-05-28,USA,True
239,2022-02-12,Mexico,False
240,2023-07-06,United Kingdom,False
241,2022-12-25,Germany,False
242,2023-07-24,USA,False
243,2024-10-04,Mexico,False
244,2024-04-16,Canada,False
245,2022-11-26,Canada,False
246,2023-08-14,Japan,False
247,2022-03-17,Germany,True
248,2023-10-25,USA,False
249,2022-01-03,Japan,False
250,2024-04-26,USA,False
251,2024-10-17,France,False
